Match,Feature,FeatureCategory,Team,Value,ConfidencePct,PredictedOutcome
Brighton vs Newcastle Utd,AwayOverall_xGA_L5,Attack,Away,0.78,53.4,Draw
Brighton vs Newcastle Utd,AwayOverall_GA_L5,Attack,Away,0.4,53.4,Draw
Brighton vs Newcastle Utd,AwayOverall_ShotsOnTargetA_L5,Other,Away,22.6,53.4,Draw
Brighton vs Newcastle Utd,Away_xG_L5,Attack,Away,0.7000000000000001,53.4,Draw
Brighton vs Newcastle Utd,Away_G_L5,Attack,Away,0.0,53.4,Draw
Brighton vs Newcastle Utd,Away_ShotsOnTarget_L5,Other,Away,42.666666666666664,53.4,Draw
Brighton vs Newcastle Utd,Away_xGA_L5,Attack,Away,0.4666666666666666,53.4,Draw
Brighton vs Newcastle Utd,Away_GA_L5,Attack,Away,0.0,53.4,Draw
Brighton vs Newcastle Utd,Away_ShotsOnTargetA_L5,Other,Away,2.0,53.4,Draw
Manchester City vs Everton,xG_L5,Attack,Away,2.1,66.6,Home Win
Manchester City vs Everton,G_L5,Attack,Away,2.6666666666666665,66.6,Home Win
Manchester City vs Everton,ShotsOnTarget_L5,Other,Away,6.0,66.6,Home Win
Manchester City vs Everton,xGA_L5,Attack,Away,0.9,66.6,Home Win
Manchester City vs Everton,GA_L5,Attack,Away,1.0,66.6,Home Win
Manchester City vs Everton,ShotsOnTargetA_L5,Other,Away,41.333333333333336,66.6,Home Win
Manchester City vs Everton,HomeOverall_xG_L5,Attack,Home,1.64,66.6,Home Win
Manchester City vs Everton,HomeOverall_G_L5,Attack,Home,2.2,66.6,Home Win
Manchester City vs Everton,HomeOverall_ShotsOnTarget_L5,Other,Home,22.2,66.6,Home Win
Manchester City vs Everton,HomeOverall_xGA_L5,Attack,Home,1.08,66.6,Home Win
Manchester City vs Everton,HomeOverall_GA_L5,Attack,Home,0.8,66.6,Home Win
Manchester City vs Everton,HomeOverall_ShotsOnTargetA_L5,Other,Home,18.8,66.6,Home Win
Manchester City vs Everton,AwayOverall_xG_L5,Attack,Away,1.4599999999999995,66.6,Home Win
Manchester City vs Everton,AwayOverall_G_L5,Attack,Away,1.4,66.6,Home Win
Manchester City vs Everton,AwayOverall_ShotsOnTarget_L5,Other,Away,14.8,66.6,Home Win
Manchester City vs Everton,AwayOverall_xGA_L5,Attack,Away,1.02,66.6,Home Win
Manchester City vs Everton,AwayOverall_GA_L5,Attack,Away,1.2,66.6,Home Win
Manchester City vs Everton,AwayOverall_ShotsOnTargetA_L5,Other,Away,22.6,66.6,Home Win
Manchester City vs Everton,Away_xG_L5,Attack,Away,1.1333333333333333,66.6,Home Win
Manchester City vs Everton,Away_G_L5,Attack,Away,1.3333333333333333,66.6,Home Win
Manchester City vs Everton,Away_ShotsOnTarget_L5,Other,Away,23.333333333333332,66.6,Home Win
Manchester City vs Everton,Away_xGA_L5,Attack,Away,1.3333333333333333,66.6,Home Win
Manchester City vs Everton,Away_GA_L5,Attack,Away,1.6666666666666667,66.6,Home Win
Manchester City vs Everton,Away_ShotsOnTargetA_L5,Other,Away,3.0,66.6,Home Win
Fulham vs Arsenal,xG_L5,Attack,Away,1.2,38.0,Home Win
Fulham vs Arsenal,G_L5,Attack,Away,1.6666666666666667,38.0,Home Win
Fulham vs Arsenal,ShotsOnTarget_L5,Other,Away,3.0,38.0,Home Win
Fulham vs Arsenal,xGA_L5,Attack,Away,1.0,38.0,Home Win
Fulham vs Arsenal,GA_L5,Attack,Away,0.6666666666666666,38.0,Home Win
Fulham vs Arsenal,ShotsOnTargetA_L5,Other,Away,34.666666666666664,38.0,Home Win
Fulham vs Arsenal,HomeOverall_xG_L5,Attack,Home,0.96,38.0,Home Win
Fulham vs Arsenal,HomeOverall_G_L5,Attack,Home,1.2,38.0,Home Win
Fulham vs Arsenal,HomeOverall_ShotsOnTarget_L5,Other,Home,29.4,38.0,Home Win
Fulham vs Arsenal,HomeOverall_xGA_L5,Attack,Home,1.16,38.0,Home Win
Fulham vs Arsenal,HomeOverall_GA_L5,Attack,Home,1.8,38.0,Home Win
Fulham vs Arsenal,HomeOverall_ShotsOnTargetA_L5,Other,Home,19.2,38.0,Home Win
Fulham vs Arsenal,AwayOverall_xG_L5,Attack,Away,1.6,38.0,Home Win
Fulham vs Arsenal,AwayOverall_G_L5,Attack,Away,1.6,38.0,Home Win
Fulham vs Arsenal,AwayOverall_ShotsOnTarget_L5,Other,Away,16.6,38.0,Home Win
Fulham vs Arsenal,AwayOverall_xGA_L5,Attack,Away,0.5199999999999999,38.0,Home Win
Fulham vs Arsenal,AwayOverall_GA_L5,Attack,Away,0.6,38.0,Home Win
Fulham vs Arsenal,AwayOverall_ShotsOnTargetA_L5,Other,Away,16.4,38.0,Home Win
Fulham vs Arsenal,Away_xG_L5,Attack,Away,1.2666666666666666,38.0,Home Win
Fulham vs Arsenal,Away_G_L5,Attack,Away,1.0,38.0,Home Win
Fulham vs Arsenal,Away_ShotsOnTarget_L5,Other,Away,34.333333333333336,38.0,Home Win
Fulham vs Arsenal,Away_xGA_L5,Attack,Away,0.8666666666666667,38.0,Home Win
Fulham vs Arsenal,Away_GA_L5,Attack,Away,0.6666666666666666,38.0,Home Win
Fulham vs Arsenal,Away_ShotsOnTargetA_L5,Other,Away,4.333333333333333,38.0,Home Win
Tottenham vs Aston Villa,xG_L5,Attack,Away,1.1,34.4,Away Win
Tottenham vs Aston Villa,G_L5,Attack,Away,1.3333333333333333,34.4,Away Win
Tottenham vs Aston Villa,ShotsOnTarget_L5,Other,Away,3.3333333333333335,34.4,Away Win
Tottenham vs Aston Villa,xGA_L5,Attack,Away,1.1666666666666667,34.4,Away Win
Tottenham vs Aston Villa,GA_L5,Attack,Away,0.6666666666666666,34.4,Away Win
Tottenham vs Aston Villa,ShotsOnTargetA_L5,Other,Away,29.333333333333332,34.4,Away Win
Tottenham vs Aston Villa,HomeOverall_xG_L5,Attack,Home,0.82,34.4,Away Win
Tottenham vs Aston Villa,HomeOverall_G_L5,Attack,Home,1.6,34.4,Away Win
Tottenham vs Aston Villa,HomeOverall_ShotsOnTarget_L5,Other,Home,23.8,34.4,Away Win
Tottenham vs Aston Villa,HomeOverall_xGA_L5,Attack,Home,1.24,34.4,Away Win
Tottenham vs Aston Villa,HomeOverall_GA_L5,Attack,Home,1.0,34.4,Away Win
Tottenham vs Aston Villa,HomeOverall_ShotsOnTargetA_L5,Other,Home,12.4,34.4,Away Win
Tottenham vs Aston Villa,AwayOverall_xG_L5,Attack,Away,0.9,34.4,Away Win
Tottenham vs Aston Villa,AwayOverall_G_L5,Attack,Away,1.2,34.4,Away Win
Tottenham vs Aston Villa,AwayOverall_ShotsOnTarget_L5,Other,Away,10.8,34.4,Away Win
Tottenham vs Aston Villa,AwayOverall_xGA_L5,Attack,Away,1.4200000000000002,34.4,Away Win
Tottenham vs Aston Villa,AwayOverall_GA_L5,Attack,Away,1.2,34.4,Away Win
Tottenham vs Aston Villa,AwayOverall_ShotsOnTargetA_L5,Other,Away,25.6,34.4,Away Win
Tottenham vs Aston Villa,Away_xG_L5,Attack,Away,0.7999999999999999,34.4,Away Win
Tottenham vs Aston Villa,Away_G_L5,Attack,Away,0.3333333333333333,34.4,Away Win
